=== NEW GATE (with early-exit) ===
Self-playing 100000 games with the heuristic solver…

  42500/100000  (1185.2s)   
  42550/100000  (1187.1s)   
  42600/100000  (1189.6s)   
  42650/100000  (1191.7s)   
  42700/100000  (1193.3s)   
  42750/100000  (1195.9s)   
  42800/100000  (1197.9s)   
  42850/100000  (1198.9s)   
  42900/100000  (1200.6s)   
  42950/100000  (1201.7s)   
  43000/100000  (1203.4s)   
  43050/100000  (1205.5s)   
  43100/100000  (1206.4s)   
  43150/100000  (1208.1s)   
  43200/100000  (1209.5s)   
  43250/100000  (1211.8s)   
  43300/100000  (1213.3s)   
  43350/100000  (1214.2s)   
  43400/100000  (1215.6s)   
  43450/100000  (1217.6s)   
  43500/100000  (1219.2s)   
  43550/100000  (1220.7s)   
  43600/100000  (1222.4s)   
  43650/100000  (1223.2s)   
  43700/100000  (1224.4s)   
  43750/100000  (1225.8s)   
  43800/100000  (1226.3s)   
  43850/100000  (1227.8s)   
  43900/100000  (1228.9s)   
  43950/100000  (1230.1s)   
  44000/100000  (1231.1s)   
  44050/100000  (1232.0s)   
  44100/100000  (1233.9s)   
  44150/100000  (1235.0s)   
  44200/100000  (1236.1s)   
  44250/100000  (1237.7s)   
  44300/100000  (1238.9s)   
  44350/100000  (1240.2s)   
  44400/100000  (1241.7s)   
  44450/100000  (1243.8s)   
  44500/100000  (1245.4s)   
  44550/100000  (1246.7s)   
  44600/100000  (1248.4s)   
  44650/100000  (1249.8s)   
  44700/100000  (1251.7s)   
  44750/100000  (1254.1s)   
  44800/100000  (1254.6s)   
  44850/100000  (1255.5s)   
  44900/100000  (1256.3s)   
  44950/100000  (1257.1s)   
  45000/100000  (1257.8s)   
  45050/100000  (1258.8s)   
  45100/100000  (1260.7s)   
  45150/100000  (1261.8s)   
  45200/100000  (1263.2s)   
  45250/100000  (1264.4s)   
  45300/100000  (1265.3s)   
  45350/100000  (1266.4s)   
  45400/100000  (1268.2s)   
  45450/100000  (1269.7s)   
  45500/100000  (1271.7s)   
  45550/100000  (1273.4s)   
